id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1606935390891683846,Sun Dec 25 08:50:27 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Gargi32354857: Thanks so much  🙏🏽🙏🏽🙇🏼‍♀️💃🏽🎉
We all must 
#ScoreForSoil 
#SaveSoil 
#SauvonsLesSols 
#WorldcupQatar2022 
#WorldCup  
#Wo…",terima kasih so much we all must,en,0,88,SwarnaVemuri,,"ScoreForSoil, SaveSoil, SauvonsLesSols, WorldcupQatar2022, WorldCup",Gargi32354857,,
1606935385699147776,Sun Dec 25 08:50:26 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GOAL_ID: 🗣️ ""Terima kasih telah memberikan saya Piala Dunia""

Kiper terbaik #PialaDunia2022 Emiliano Martinez memberikan pesan kepada s…",terima kasih piala dunia kiper terbaik emiliano martinez pesan s,in,0,9,Maz_Wur,,PialaDunia2022,GOAL_ID,"Tegal, indonesia",
1606935152881434625,Sun Dec 25 08:49:30 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pola andalan dari penonton enak banget buat dapat profit

☞ https://t.co/jBxZNikcw6

#rtpslotgacor #pragmaticplay #malang #riau #likeforlike #rtpslot #fypage #slotgacor  #pialadunia2022 #fff #lfl #slotgacorhariini #fyp #palembang #bandung #medan #jakarta #surabaya #lampung https://t.co/qWSi4ahnP8",pola andalan penonton enak banget profit,in,0,0,slotasiabet3,False,"rtpslotgacor, pragmaticplay, malang, riau, likeforlike, rtpslot, fypage, slotgacor, pialadunia2022, fff, lfl, slotgacorhariini, fyp, palembang, bandung, medan, jakarta, surabaya, lampung",,Surabaya,
1606934019530268672,Sun Dec 25 08:45:00 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pola andalan dari penonton enak banget buat dapat profit

☞ https://t.co/XCD6FugowN

#rtpslotgacor #pragmaticplay #malang #riau #likeforlike #rtpslot #fypage #slotgacor  #pialadunia2022 #fff #lfl #slotgacorhariini #fyp #palembang #bandung #medan #jakarta #surabaya #lampung https://t.co/8k12eIvCFR",pola andalan penonton enak banget profit,in,0,0,slotasiabet,False,"rtpslotgacor, pragmaticplay, malang, riau, likeforlike, rtpslot, fypage, slotgacor, pialadunia2022, fff, lfl, slotgacorhariini, fyp, palembang, bandung, medan, jakarta, surabaya, lampung",,"DKI Jakarta, Indonesia",
1606934002262478848,Sun Dec 25 08:44:56 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Rame banget yang berburu Laeeb minggu ini. Pada ngincer foto bareng mumpung maskot #PialaDunia2022 ada di 3 kota dari Bekasi, Bandung, sampe Surabaya #SCMWorldCup2022 https://t.co/DdpXTQIOnz",ramai banget berburu laeeb ngincer foto bareng maskot kota bekasi bandung surabaya,in,0,0,uchisnaga,False,"PialaDunia2022, SCMWorldCup2022",,,
1606932965468274688,Sun Dec 25 08:40:48 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GOAL_ID: 🗣️ ""Terima kasih telah memberikan saya Piala Dunia""

Kiper terbaik #PialaDunia2022 Emiliano Martinez memberikan pesan kepada s…",terima kasih piala dunia kiper terbaik emiliano martinez pesan s,in,0,9,DeniAgungP,,PialaDunia2022,GOAL_ID,Area Salatiga,
1606931264678002688,Sun Dec 25 08:34:03 +0000 2022,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Legenda Liverpool: Emiliano Martinez Permalukan Negaranya! https://t.co/mKtdbMOqBj #Argentina #EmilianoMartinez #Liverpool #PialaDunia2022 #Qatar https://t.co/dKSmZRqs9x,legenda liverpool emiliano martinez permalukan negaranya,in,0,0,Beritabaruco,False,"Argentina, EmilianoMartinez, Liverpool, PialaDunia2022, Qatar",,"Jakarta Pusat, DKI Jakarta",
1606931182012465160,Sun Dec 25 08:33:43 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @indizenborneo: Gol keren #Mbappe belum bisa bikin #Fra bawa pulang piala. Semangat🫶🏻

Full time 🇦🇷3-3🇫🇷
Penalti 🇦🇷4-2🇫🇷

Selamat buat A…",gol keren bikin bawa pulang piala semangatfull time penalti selamat a,in,0,21,AryaBudiyana,,"Mbappe, Fra",indizenborneo,,
1606930397216264193,Sun Dec 25 08:30:36 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GOAL_ID: 🗣️ ""Terima kasih telah memberikan saya Piala Dunia""

Kiper terbaik #PialaDunia2022 Emiliano Martinez memberikan pesan kepada s…",terima kasih piala dunia kiper terbaik emiliano martinez pesan s,in,0,9,AndreBumiayu,,PialaDunia2022,GOAL_ID,,
1606926022100013057,Sun Dec 25 08:13:13 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @wahyususilo: Nah di obrolan episode ini, ada fakta-fakta lain yang selama ini tersembunyi dalam helatan akbar  #PialaDunia2022 ini. Lan…",obrolan episode fakta fakta tersembunyi dalam helatan akbar lan,in,0,1,migrantcare,,PialaDunia2022,wahyususilo,Jakarta - Kuala Lumpur,
